Iso_Idxs,Value,Unc,RefRemarks,Refs,Term,Include,Table
"062150,062152",0.46402698640590795,0.017901687595902226,Le73,['Le73'],R062152-R062150,nan,kalpha
"062150,062152",0.4257750682697059,0.06750279414055875,"Su67, Su68","['Su67', 'Su68']",R062152-R062150,nan,kalpha
"062152,062154",0.24386531271510212,0.018670052521767875,Le73,['Le73'],R062154-R062152,nan,kalpha
"063151,063153",0.6650711628629883,0.07583988735996738,Ry72,['Ry72'],R063153-R063151,nan,kalpha
"064154,064155",0.12363023922610207,0.029466352233092605,Bh69,['Bh69'],R064155-R064154,nan,kalpha
"064154,064156",0.2244374332694578,0.0293421746072063,Bh69,['Bh69'],R064156-R064154,nan,kalpha
"064155,064156",0.10086715743726442,0.01476422526671986,Bh69,['Bh69'],R064156-R064155,nan,kalpha
"064156,064157",0.03178223703081053,0.016681581198095985,Bh69,['Bh69'],R064157-R064156,nan,kalpha
"064156,064158",0.1573784949939846,0.014616050499244767,Bh69,['Bh69'],R064158-R064156,nan,kalpha
"064157,064158",0.12831232993617844,0.015257720483055084,Bh69,['Bh69'],R064158-R064157,nan,kalpha
"064158,064160",0.16833293942514213,0.01402645504490957,Bh69,['Bh69'],R064160-R064158,nan,kalpha
"066161,066162",0.10181644651821001,0.016172358301984317,Le73,['Le73'],R066162-R066161,nan,kalpha
"066162,066163",0.010467041603737725,0.01076061289223433,Le73,['Le73'],R066163-R066162,nan,kalpha
"066162,066164",0.1421292407192538,0.0122716182668161,Le73,['Le73'],R066164-R066162,nan,kalpha
"066162,066164",0.14870591873951763,0.011248029914732111,Ei70,['Ei70'],R066164-R066162,nan,kalpha
"066163,066164",0.13428704022610538,0.015317889186011622,Le73,['Le73'],R066164-R066163,nan,kalpha
"068166,068168",0.14785835464808145,0.011970382875856396,Bh69,['Bh69'],R068168-R068166,nan,kalpha
"068168,068170",0.1710479106610908,0.01556238748209583,Bh69,['Bh69'],R068170-R068168,nan,kalpha
"070170,070171",0.08500854476931008,0.038519743441532826,Le73,['Le73'],R070171-R070170,nan,kalpha
"070170,070172",0.17996398643550307,0.022960407772657357,Le73,['Le73'],R070172-R070170,nan,kalpha
"070171,070172",0.09497429586117731,0.017542954121253996,Le73,['Le73'],R070172-R070171,nan,kalpha
"070172,070173",0.054547603343964655,0.031916075115324,Le73,['Le73'],R070173-R070172,nan,kalpha
"070172,070174",0.1554517101626772,0.017018863315805037,Le73,['Le73'],R070174-R070172,nan,kalpha
"070173,070174",0.10132017562960888,0.039623222975487246,Le73,['Le73'],R070174-R070173,nan,kalpha
"070174,070176",0.1147051204676757,0.015015619032301518,Le73,['Le73'],R070176-R070174,nan,kalpha
"072178,072180",0.11278767881315628,0.009377308973553166,Bh69,['Bh69'],R072180-R072178,nan,kalpha
"074182,074184",0.11180182453318067,0.014239657064557931,Ch68,['Ch68'],R074184-R074182,nan,kalpha
"074184,074186",0.07192362942381075,0.010963228475764048,Ch68,['Ch68'],R074186-R074184,nan,kalpha
"080198,080199",0.028908222045812785,0.013639259858500582,Le78,['Le78'],R080199-R080198,nan,kalpha
"080198,080200",0.11354850909003861,0.029862250794310485,Le78,['Le78'],R080200-R080198,nan,kalpha
"080198,080201",0.12639139209718508,0.01880420484077207,Le78,['Le78'],R080201-R080198,nan,kalpha
"080198,080202",0.21842810706519383,0.02837408309253813,Le78,['Le78'],R080202-R080198,nan,kalpha
"080198,080204",0.3277003786253773,0.031974080422912894,Le78,['Le78'],R080204-R080198,nan,kalpha
"080199,080200",0.08556154771808215,0.026883259523047792,Le78,['Le78'],R080200-R080199,nan,kalpha
"080199,080201",0.09765365809351545,0.01464549330376653,Le78,['Le78'],R080201-R080199,nan,kalpha
"080199,080202",0.19006946360814775,0.025703840422656568,Le78,['Le78'],R080202-R080199,nan,kalpha
